Order_ID,Order_Date,Category,Sub_Category,Region,City,Quantity,Discount,Sales,Profit
ORD-0001,2025-03-13,Furniture,Chairs,East,Patna,5,0.1,1377.07,169.48
ORD-0002,2025-05-30,Technology,Printers,West,Ahmedabad,5,0.05,2065.62,382.64
ORD-0003,2025-06-10,Office Supplies,Binders,West,Mumbai,6,0.15,120.0,23.16
ORD-0004,2025-02-20,Technology,Laptops,East,Bhubaneswar,7,0.15,3815.29,489.16
ORD-0005,2025-11-25,Technology,Accessories,East,Kolkata,7,0.05,915.54,72.42
ORD-0006,2025-09-21,Office Supplies,Storage,West,Ahmedabad,3,0.3,501.05,20.78
ORD-0007,2025-02-23,Technology,Printers,South,Bengaluru,4,0.3,1937.74,16.12
ORD-0008,2025-12-04,Technology,Printers,North,Delhi,5,0.05,2944.39,667.18
ORD-0009,2025-01-15,Furniture,Chairs,North,Delhi,1,0.0,295.43,33.61
ORD-0010,2025-06-12,Technology,Accessories,East,Kolkata,3,0.0,1219.92,223.26
ORD-0011,2025-07-20,Office Supplies,Binders,North,Jaipur,8,0.3,658.83,19.95
ORD-0012,2025-02-04,Office Supplies,Labels,South,Chennai,1,0.1,115.3,7.53
ORD-0013,2025-09-12,Office Supplies,Paper,North,Chandigarh,7,0.1,795.74,40.06
ORD-0014,2025-08-19,Furniture,Furnishings,North,Chandigarh,4,0.2,794.47,18.34
ORD-0015,2025-06-19,Technology,Laptops,West,Pune,9,0.15,3900.8,230.99
ORD-0016,2025-12-14,Office Supplies,Storage,West,Pune,9,0.3,718.88,-4.52
ORD-0017,2025-08-21,Technology,Laptops,North,Delhi,3,0.0,1352.42,219.66
ORD-0018,2025-11-11,Office Supplies,Binders,West,Ahmedabad,6,0.0,660.88,98.24
ORD-0019,2025-10-22,Technology,Laptops,West,Pune,2,0.0,661.13,82.87
ORD-0020,2025-08-12,Office Supplies,Labels,South,Chennai,1,0.0,139.21,16.81
ORD-0021,2025-09-04,Technology,Printers,South,Bengaluru,4,0.0,1664.98,339.32
ORD-0022,2025-08-28,Furniture,Furnishings,South,Bengaluru,1,0.0,227.63,30.62
ORD-0023,2025-12-12,Technology,Phones,East,Patna,3,0.15,1096.66,205.5
ORD-0024,2025-09-24,Furniture,Bookcases,South,Hyderabad,9,0.0,3736.22,431.69
ORD-0025,2025-09-09,Furniture,Tables,East,Patna,9,0.0,1083.55,103.83
ORD-0026,2025-01-09,Office Supplies,Paper,West,Ahmedabad,9,0.1,1124.97,184.56
ORD-0027,2025-04-30,Office Supplies,Labels,West,Pune,1,0.15,91.44,16.48
ORD-0028,2025-04-09,Furniture,Bookcases,West,Pune,9,0.2,2919.48,170.11
